card_id,card_name,expansion,collection_no,stage_type,rule,category,previous_stage,hp,type,weakness,resistance,retreat,attack_count,max_damage,mean_damage,max_damage_per_energy,min_attack_cost,text,move_text,is_pokemon,is_basic,is_stage1,is_stage2,is_trainer,is_energy,is_ex,is_mega_ex,is_ace_spec,has_draw,has_search,has_gust,has_energy_accel,has_damage_boost
21,Scrafty,PROMO,188,Stage 1 Pokémon,,,Scraggy,120.0,{D},{G},,1.0,2,100.0,100.0,33.333333333333336,1,"Search your deck for a number of cards up to the number of your Benched Pokémon and put them into your hand. Then, shuffle your deck.",Nab ’n’ Dash High Jump Kick,True,False,True,False,False,False,False,False,False,False,True,False,False,False
22,Hippopotas,DRI,105,Basic Pokémon,,,,90.0,{F},{G},,3.0,1,10.0,10.0,10.0,1,Switch out your opponent’s Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.),Push Down,True,True,False,False,False,False,False,False,False,False,False,True,False,False
23,Hippowdon,DRI,106,Stage 1 Pokémon,,,Hippopotas,160.0,{F},{G},,4.0,2,150.0,105.0,50.0,2,This attack also does 40 damage to each Benched Pokémon that has any damage counters on it (both yours and your opponent’s). (Don’t apply Weakness and Resistance for Benched Pokémon.),Ram Super Sandstorm,True,False,True,False,False,False,False,False,False,False,False,False,False,False
24,Team Rocket's Kangaskhan ex,ASC,162,Basic Pokémon,Pokémon ex,Trainer's Pokémon（Team Rocket）,,230.0,{C},{F},,2.0,2,120.0,75.0,40.0,2,"Flip 4 coins. This attack does 30 damage for each heads. If you played a Supporter card that has “Team Rocket” in its name from your hand during this turn, this attack does 100 more damage.",Comet Punch Wicked Impact,True,True,False,False,False,False,True,False,False,False,False,False,False,False
25,Pinsir,TWM,3,Basic Pokémon,,,,110.0,{G},{R},,2.0,2,100.0,100.0,33.333333333333336,2,"Discard all Energy from this Pokémon. At the end of your opponent’s next turn, the Defending Pokémon will be Knocked Out.",Slow Crunch Superpowered Horns,True,True,False,False,False,False,False,False,False,False,False,False,True,False
26,Leafeon,TWM,11,Stage 1 Pokémon,,,Eevee,120.0,{G},{R},,1.0,2,70.0,70.0,35.0,1,"Attach a Basic {G} Energy card from your hand to 1 of your Benched Pokémon. If you do, heal all damage from that Pokémon.",Leaflet Blessings Solar Beam,True,False,True,False,False,False,False,False,False,False,False,False,True,False
27,Iron Leaves,TWM,19,Basic Pokémon,,Future,,120.0,{G},{R},,1.0,2,100.0,100.0,33.333333333333336,1,"Put up to 2 Pokémon from your discard pile into your hand. If any of your Pokémon were Knocked Out by damage from an attack during your opponent’s last turn, this attack does 60 more damage.",Recovery Net Avenging Edge,True,True,False,False,False,False,False,False,False,False,True,False,False,False
28,Poltchageist,TWM,20,Basic Pokémon,,,,30.0,{G},{R},,1.0,2,10.0,10.0,10.0,1,"As long as this Pokémon is on your Bench, prevent all damage from and effects of attacks from your opponent’s Pokémon done to this Pokémon.",[Ability] Storehouse Hideaway Hook,True,True,False,False,False,False,False,False,False,False,False,False,False,False
29,Sinistcha ex,TWM,23,Stage 1 Pokémon,Pokémon ex,,Poltchageist,240.0,{G},{R},,1.0,2,120.0,120.0,60.0,1,"Put 2 damage counters on 1 of your opponent’s Pokémon for each Basic {G} Energy card in your discard pile. Then, shuffle those Energy cards into your deck. Heal 30 damage from each of your Pokémon.",Re-Brew Matcha Splash,True,False,True,False,False,False,True,False,False,False,False,False,True,False
30,Magcargo ex,TWM,29,Stage 1 Pokémon,Pokémon ex,Tera(Fire),Slugma,270.0,{R},{W},,3.0,3,140.0,105.0,46.666666666666664,2,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s). Your opponent’s Active Pokémon is now Burned. Discard the top card of each player’s deck. This attack does 140 more damage for each Energy card discarded in this way.",[Tera] Hot Magma Ground Burn,True,False,True,False,False,False,True,False,False,False,False,False,True,False
31,Chi-Yu,TWM,39,Basic Pokémon,,,,110.0,{R},{W},,1.0,2,60.0,60.0,30.0,1,"Draw 2 cards. If a Stadium is in play, this attack does 60 more damage. Then, discard that Stadium.",Allure Ground Melter,True,True,False,False,False,False,False,False,False,True,False,False,False,False
32,Glaceon,TWM,54,Stage 1 Pokémon,,,Eevee,120.0,{W},{M},,1.0,2,70.0,50.0,35.0,1,"At the end of your opponent’s next turn, put 9 damage counters on the Defending Pokémon.",Permeating Chill Icicle Missile,True,False,True,False,False,False,False,False,False,False,False,False,False,False
33,Froakie,TWM,56,Basic Pokémon,,,,60.0,{W},{L},,1.0,2,10.0,10.0,10.0,1,"Search your deck for up to 2 Froakie and put them onto your Bench. Then, shuffle your deck.",Flock Flop,True,True,False,False,False,False,False,False,False,False,True,False,False,False
34,Frogadier,TWM,57,Stage 1 Pokémon,,,Froakie,90.0,{W},{L},,1.0,1,20.0,20.0,20.0,1,"Flip a coin. If heads, your opponent’s Active Pokémon is now Paralyzed.",Numbing Water,True,False,True,False,False,False,False,False,False,False,False,False,False,False
35,Walking Wake,TWM,63,Basic Pokémon,,Ancient,,130.0,{W},{L},,1.0,2,20.0,20.0,20.0,1,Heal 20 damage from this Pokémon. Put up to 9 damage counters on this Pokémon. This attack does 20 damage for each damage counter you placed in this way.,Aurora Gain Undulating Slice,True,True,False,False,False,False,False,False,False,False,False,False,False,False
36,Morpeko,TWM,72,Basic Pokémon,,,,70.0,{L},{F},,1.0,2,0.0,0.0,0.0,1,"Once during your turn, you may look at the top card of your deck. You may discard that card. Attach up to 2 Basic Energy cards from your discard pile to your Pokémon in any way you like.",[Ability] Snack Seek Pick and Stick,True,True,False,False,False,False,False,False,False,False,False,False,True,False
37,Iron Thorns ex,TWM,77,Basic Pokémon,Pokémon ex,Future,,230.0,{L},{F},,4.0,2,140.0,140.0,46.666666666666664,3,"As long as this Pokémon is in the Active Spot, Pokémon with a Rule Box in play (both yours and your opponent’s) have no Abilities, except for Future Pokémon. (Pokémon {ex}, Pokémon {V}, etc. have Rule Boxes.) Move an Energy from this Pokémon to 1 of your Benched Pokémon.",[Ability] Initialization Volt Cyclone,True,True,False,False,False,False,True,False,False,False,False,False,False,False
38,Girafarig,TWM,83,Basic Pokémon,,,,100.0,{P},{D},{F},1.0,1,30.0,30.0,30.0,1,This attack also does 10 damage to 1 of your Benched Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.),Dual Headbutt,True,True,False,False,False,False,False,False,False,False,False,False,False,False
39,Enamorus,TWM,93,Basic Pokémon,,,,120.0,{P},{M},,1.0,2,80.0,55.0,30.0,1,"If any of your Pokémon in play are the same type as any of your opponent’s Pokémon in play, this attack does 120 more damage.",Heart Sign Love Resonance,True,True,False,False,False,False,False,False,False,False,False,False,False,False
40,Greninja ex,TWM,106,Stage 2 Pokémon,Pokémon ex,Tera(Fighting),Frogadier,310.0,{F},{P},,1.0,3,170.0,170.0,170.0,1,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s). You may search your deck for a card and put it into your hand. Then, shuffle your deck. Discard 2 Energy from this Pokémon. This attack does 120 damage to 2 of your opponent’s Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)",[Tera] Shinobi Blade Mirage Barrage,True,False,False,True,False,False,True,False,False,False,True,False,True,False
41,Ting-Lu,TWM,110,Basic Pokémon,,,,140.0,{F},{G},,3.0,2,110.0,70.0,36.666666666666664,1,"If a Stadium is in play, this attack also does 30 damage to each of your opponent’s Benched Pokémon, and discard that Stadium. (Don’t apply Weakness and Resistance for Benched Pokémon.)",Ground Crasher Hammer In,True,True,False,False,False,False,False,False,False,False,False,False,False,False
42,Applin,TWM,126,Basic Pokémon,,,,40.0,竜,,,1.0,2,30.0,30.0,15.0,1,"Search your deck for a Pokémon, reveal it, and put it into your hand. Then, shuffle your deck.",Find a Friend Rolling Tackle,True,True,False,False,False,False,False,False,False,False,True,False,False,False
43,Eevee,TWM,135,Basic Pokémon,,,,50.0,{C},{F},,1.0,2,20.0,20.0,6.666666666666667,1,"Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck. Flip a coin. If heads, this attack does 20 more damage.",Ascension Quick Attack,True,True,False,False,False,False,False,False,False,False,True,False,False,False
44,Bloodmoon Ursaluna ex,TWM,141,Basic Pokémon,Pokémon ex,,,260.0,{C},{F},,3.0,2,240.0,240.0,48.0,5,"Blood Moon used by this Pokémon costs {C} less for each Prize card your opponent has taken. During your next turn, this Pokémon can’t use attacks.",[Ability] Seasoned Skill Blood Moon,True,True,False,False,False,False,True,False,False,False,False,False,False,False
45,Shaymin,TEF,13,Basic Pokémon,,,,70.0,{G},{R},,0.0,2,50.0,50.0,25.0,1,This attack does 60 damage to 1 of your opponent’s Benched Pokémon {ex} or Benched Pokémon {V}. (Don’t apply Weakness and Resistance for Benched Pokémon.),Pinpoint Dive Rear Kick,True,True,False,False,False,False,False,False,False,False,False,False,False,False
46,Gouging Fire ex,TEF,38,Basic Pokémon,Pokémon ex,Ancient,,230.0,{R},{W},,2.0,2,260.0,160.0,86.66666666666667,2,This Pokémon can’t use Blaze Blitz again until it leaves the Active Spot.,Heat Blast Blaze Blitz,True,True,False,False,False,False,True,False,False,False,False,False,False,False
47,Totodile,TEF,39,Basic Pokémon,,,,70.0,{W},{L},,1.0,1,10.0,10.0,10.0,1,"During your opponent’s next turn, the Defending Pokémon can’t retreat.",Big Bite,True,True,False,False,False,False,False,False,False,False,False,False,False,False
48,Croconaw,TEF,40,Stage 1 Pokémon,,,Totodile,90.0,{W},{L},,2.0,1,30.0,30.0,30.0,1,Switch this Pokémon with 1 of your Benched Pokémon.,Reverse Thrust,True,False,True,False,False,False,False,False,False,False,False,False,False,False
49,Feraligatr,TEF,41,Stage 2 Pokémon,,,Croconaw,180.0,{W},{L},,3.0,2,160.0,160.0,80.0,2,"Once during your turn, you may put 5 damage counters on this Pokémon. If you do, during this turn, attacks used by this Pokémon do 120 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance). During your next turn, this Pokémon can’t use Giant Wave.",[Ability] Torrential Heart Giant Wave,True,False,False,True,False,False,False,False,False,False,False,False,False,True
50,Wiglett,TEF,47,Basic Pokémon,,,,60.0,{W},{L},,1.0,2,40.0,40.0,20.0,1,"Search your deck for an Item card, reveal it, and put it into your hand. Then, shuffle your deck. This Pokémon also does 20 damage to itself.",Lucky Find Aqua Bomb,True,True,False,False,False,False,False,False,False,False,True,False,False,False
51,Palafin,TEF,49,Stage 1 Pokémon,,,Finizen,150.0,{W},{L},,2.0,2,130.0,110.0,130.0,1,This Pokémon also does 10 damage to itself for each damage counter on it. Flip 2 coins. This attack does 90 damage for each heads.,Vanguard Punch Double Hit,True,False,True,False,False,False,False,False,False,False,False,False,False,False
52,Wugtrio ex,TEF,60,Stage 1 Pokémon,Pokémon ex,Tera(Lightning),Wiglett,250.0,{L},{F},,1.0,3,120.0,120.0,60.0,1,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s). Discard up to 3 Energy cards from your hand. This attack does 60 damage to 1 of your opponent’s Pokémon for each Energy card you discarded in this way. (Don’t apply Weakness and Resistance for Benched Pokémon.) During your opponent’s next turn, the Defending Pokémon can’t retreat.",[Tera] Tricolor Pump Numbing Hold,True,False,True,False,False,False,True,False,False,False,False,False,True,False
53,Marill,TEF,64,Basic Pokémon,,,,70.0,{P},{M},,2.0,2,40.0,25.0,13.333333333333334,1,Flip a coin until you get tails. This attack does 10 damage for each heads.,Ball Roll Magical Shot,True,True,False,False,False,False,False,False,False,False,False,False,False,False
54,Bronzor,TEF,68,Basic Pokémon,,,,80.0,{P},{D},{F},3.0,1,10.0,10.0,10.0,1,"If your opponent’s Active Pokémon is a {P} Pokémon, this attack does 30 more damage.",Mirror Attack,True,True,False,False,False,False,False,False,False,False,False,False,False,False
55,Bronzong,TEF,69,Stage 1 Pokémon,,,Bronzor,110.0,{P},{D},{F},3.0,2,100.0,65.0,33.333333333333336,1,"During your opponent’s next turn, they can’t play any Pokémon from their hand to evolve their Pokémon.",Evolution Jammer Super Psy Bolt,True,False,True,False,False,False,False,False,False,False,False,False,False,False
56,Flutter Mane,TEF,78,Basic Pokémon,,Ancient,,90.0,{P},{M},,1.0,2,90.0,90.0,30.0,3,"As long as this Pokémon is in the Active Spot, your opponent’s Active Pokémon has no Abilities, except for Midnight Fluttering. Put 2 damage counters on your opponent’s Benched Pokémon in any way you like.",[Ability] Midnight Fluttering Hex Hurl,True,True,False,False,False,False,False,False,False,False,False,False,False,False
57,Relicanth,TEF,84,Basic Pokémon,,,,100.0,{F},{G},,1.0,2,30.0,30.0,15.0,2,Each of your evolved Pokémon can use any attack from its previous Evolutions. (You still need the necessary Energy to use each attack.),[Ability] Memory Dive Razor Fin,True,True,False,False,False,False,False,False,False,False,False,False,False,False
58,Great Tusk,TEF,97,Basic Pokémon,,Ancient,,140.0,{F},{P},,3.0,2,160.0,160.0,40.0,2,"Discard the top card of your opponent’s deck. If you played an Ancient Supporter card from your hand during this turn, discard 3 more cards in this way.",Land Collapse Giant Tusk,True,True,False,False,False,False,False,False,False,False,False,False,False,False
59,Gastly,TEF,102,Basic Pokémon,,,,60.0,{D},{F},,1.0,2,30.0,30.0,15.0,1,"Flip a coin. If heads, discard an Energy from your opponent’s Active Pokémon.",Mysterious Beam Suffocating Gas,True,True,False,False,False,False,False,False,False,False,False,False,True,False
60,Haunter,TEF,103,Stage 1 Pokémon,,,Gastly,90.0,{D},{F},,1.0,1,30.0,30.0,15.0,2,Your opponent’s Active Pokémon is now Poisoned.,Super Poison Breath,True,False,True,False,False,False,False,False,False,False,False,False,False,False
61,Roaring Moon,TEF,109,Basic Pokémon,,Ancient,,140.0,{D},{G},,2.0,2,120.0,95.0,35.0,2,This attack does 10 more damage for each Ancient card in your discard pile.,Vengeance Fletching Speed Wing,True,True,False,False,False,False,False,False,False,False,False,False,False,False
62,Koraidon,TEF,119,Basic Pokémon,,Ancient,,140.0,竜,,,2.0,2,130.0,80.0,43.333333333333336,2,This attack does 30 damage for each of your Ancient Pokémon in play. This attack’s damage isn’t affected by any effects on your opponent’s Active Pokémon.,Primordial Beatdown Shred,True,True,False,False,False,False,False,False,False,False,False,False,False,False
63,Raging Bolt ex,TEF,123,Basic Pokémon,Pokémon ex,Ancient,,240.0,竜,,,3.0,2,70.0,70.0,35.0,1,Discard your hand and draw 6 cards. You may discard any amount of Basic Energy from your Pokémon. This attack does 70 damage for each card you discarded in this way.,Burst Roar Bellowing Thunder,True,True,False,False,False,False,True,False,False,True,False,False,True,False
64,Hoothoot,TEF,126,Basic Pokémon,,,,70.0,{C},{L},{F},1.0,1,20.0,20.0,10.0,2,Your opponent reveals their hand.,Silent Wing,True,True,False,False,False,False,False,False,False,False,False,False,False,False
65,Dunsparce,TEF,128,Basic Pokémon,,,,60.0,{C},{F},,0.0,2,30.0,20.0,15.0,1,"Flip a coin. If heads, during your opponent’s next turn, prevent all damage from and effects of attacks done to this Pokémon.",Gnaw Dig,True,True,False,False,False,False,False,False,False,False,False,False,False,False
66,Dudunsparce,TEF,129,Stage 1 Pokémon,,,Dunsparce,140.0,{C},{F},,3.0,2,90.0,90.0,30.0,3,"Once during your turn, you may draw 3 cards. If you drew any cards in this way, shuffle this Pokémon and all attached cards into your deck.",[Ability] Run Away Draw Land Crush,True,False,True,False,False,False,False,False,False,True,False,False,False,False
67,Pineco,TEF,2,Basic Pokémon,,,,70.0,{G},{R},,2.0,1,50.0,50.0,16.666666666666668,3,,Ram,True,True,False,False,False,False,False,False,False,False,False,False,False,False
68,Seedot,TEF,3,Basic Pokémon,,,,60.0,{G},{R},,1.0,2,20.0,20.0,10.0,1,"During your opponent’s next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).",Rigidify Hang Down,True,True,False,False,False,False,False,False,False,False,False,False,False,False
69,Nuzleaf,TEF,4,Stage 1 Pokémon,,,Seedot,90.0,{G},{R},,1.0,2,30.0,25.0,20.0,1,Flip 3 coins. This attack does 30 damage for each heads.,Corkscrew Punch Comet Slap,True,False,True,False,False,False,False,False,False,False,False,False,False,False
70,Shiftry,TEF,5,Stage 2 Pokémon,,,Nuzleaf,150.0,{G},{R},,2.0,2,140.0,140.0,70.0,1,"Choose 3 of your opponent’s Benched Pokémon. If you do, shuffle all of your opponent’s Benched Pokémon that you didn’t choose, and all cards attached to those Pokémon, into their deck. Put an Energy attached to this Pokémon into your hand.",Expelling Tornado Energy Loop,True,False,False,True,False,False,False,False,False,False,True,False,False,False
71,Deerling,TEF,16,Basic Pokémon,,,,70.0,{G},{R},,1.0,2,40.0,25.0,13.333333333333334,1,Discard a {G} Energy from this Pokémon.,Flop Leaf Litter Tackle,True,True,False,False,False,False,False,False,False,False,False,False,True,False
72,Sawsbuck,TEF,17,Stage 1 Pokémon,,,Deerling,130.0,{G},{R},,2.0,2,110.0,110.0,36.666666666666664,3,"Once during your turn, you may search your deck for a Stadium card, reveal it, and put it into your hand. Then, shuffle your deck.",[Ability] Changing Seasons Superpowered Horns,True,False,True,False,False,False,False,False,False,False,True,False,False,False
73,Rellor,TEF,23,Basic Pokémon,,,,50.0,{G},{R},,1.0,1,30.0,30.0,30.0,1,This Pokémon also does 10 damage to itself.,Slight Intrusion,True,True,False,False,False,False,False,False,False,False,False,False,False,False
74,Rabsca,TEF,24,Stage 1 Pokémon,,,Rellor,70.0,{G},{R},,1.0,2,10.0,10.0,10.0,1,Prevent all damage from and effects of attacks from your opponent’s Pokémon done to your Benched Pokémon. This attack does 30 more damage for each Energy attached to your opponent’s Active Pokémon.,[Ability] Spherical Shield Psychic,True,False,True,False,False,False,False,False,False,False,False,True,False,False
75,Iron Leaves ex,TEF,25,Basic Pokémon,Pokémon ex,Future,,220.0,{G},{R},,1.0,2,180.0,180.0,60.0,3,"When you play this Pokémon from your hand onto your Bench during your turn, you may switch it with your Active Pokémon. If you do, you may move any amount of Energy from your other Pokémon to this Pokémon. During your next turn, this Pokémon can’t use attacks.",[Ability] Rapid Vernier Prism Edge,True,True,False,False,False,False,True,False,False,False,False,False,False,False
76,Slugma,TEF,28,Basic Pokémon,,,,80.0,{R},{W},,2.0,1,10.0,10.0,10.0,1,"If your opponent’s Active Pokémon is Burned, this attack does 40 more damage.",Roasting Heat,True,True,False,False,False,False,False,False,False,False,False,False,False,False
77,Litten,TEF,32,Basic Pokémon,,,,70.0,{R},{W},,2.0,1,10.0,10.0,10.0,1,"Flip a coin. If heads, your opponent’s Active Pokémon is now Paralyzed.",Fake Out,True,True,False,False,False,False,False,False,False,False,False,False,False,False
78,Torracat,TEF,33,Stage 1 Pokémon,,,Litten,100.0,{R},{W},,2.0,2,80.0,55.0,30.0,1,"During your next turn, this Pokémon can’t use Flare Strike.",Bite Flare Strike,True,False,True,False,False,False,False,False,False,False,False,False,False,False
79,Incineroar ex,TEF,34,Stage 2 Pokémon,Pokémon ex,,Torracat,320.0,{R},{W},,2.0,2,240.0,240.0,48.0,5,Attacks used by this Pokémon cost {C} less for each of your opponent’s Benched Pokémon. Your opponent’s Active Pokémon is now Burned.,[Ability] Hustle Play Blaze Blast,True,False,False,True,False,False,True,False,False,False,False,True,False,False
80,Iron Crown ex,TEF,81,Basic Pokémon,Pokémon ex,Future,,220.0,{P},{D},{F},2.0,2,0.0,0.0,0.0,3,"Attacks used by your Future Pokémon, except any Iron Crown {ex}, do 20 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance). This attack does 50 damage to 2 of your opponent’s Pokémon. This attack’s damage isn’t affected by Weakness or Resistance, or by any effects on those Pokémon.",[Ability] Cobalt Command Twin Shotels,True,True,False,False,False,False,True,False,False,False,False,False,False,True
81,Drilbur,TEF,85,Basic Pokémon,,,,70.0,{F},{G},,1.0,2,20.0,20.0,10.0,2,"When you play this Pokémon from your hand onto your Bench during your turn, you may search your deck for up to 3 Basic {F} Energy cards and discard them. Then, shuffle your deck.",[Ability] Dig Dig Dig Sand Spray,True,True,False,False,False,False,False,False,False,False,True,False,True,False
82,Excadrill,TEF,86,Stage 1 Pokémon,,,Drilbur,130.0,{F},{G},,2.0,2,180.0,100.0,60.0,1,This Pokémon also does 50 damage to itself.,Mud Shot Wild Tackle,True,False,True,False,False,False,False,False,False,False,False,False,False,False
83,Farigiraf ex,TEF,108,Stage 1 Pokémon,Pokémon ex,Tera(Darkness),Girafarig,260.0,{D},{G},,2.0,3,160.0,160.0,53.333333333333336,3,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s). Prevent all damage done to this Pokémon by attacks from your opponent’s Basic Pokémon {ex}. This attack also does 30 damage to 1 of your opponent’s Benched Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)",[Tera] [Ability] Armor Tail Dirty Beam,True,False,True,False,False,False,True,False,False,False,False,False,False,False
84,Scizor ex,TEF,111,Stage 1 Pokémon,Pokémon ex,,Scyther,270.0,{M},{R},{G},2.0,2,120.0,95.0,60.0,2,"During your opponent’s next turn, this Pokémon takes 50 less damage from attacks (after applying Weakness and Resistance). Discard up to 2 {M} Energy from this Pokémon. This attack does 120 damage for each card you discarded in this way.",Steel Wing Cross Breaker,True,False,True,False,False,False,True,False,False,False,False,False,True,False
85,Beldum,TEF,113,Basic Pokémon,,,,70.0,{M},{R},{G},1.0,2,50.0,30.0,16.666666666666668,1,This Pokémon also does 10 damage to itself.,Dig Claws Iron Tackle,True,True,False,False,False,False,False,False,False,False,False,False,False,False
86,Metang,TEF,114,Stage 1 Pokémon,,,Beldum,100.0,{M},{R},{G},2.0,2,60.0,60.0,20.0,3,"Once during your turn, you may look at the top 4 cards of your deck and attach any number of Basic {M} Energy cards you find there to your Pokémon in any way you like. Shuffle the other cards and put them on the bottom of your deck.",[Ability] Metal Maker Beam,True,False,True,False,False,False,False,False,False,False,False,False,True,False
